Company Name,CB Insights Profile,Category,Product focus,Country,Investors,Key people,Latest Funding Round,Last Funding Date,Total funding ($M),Latest valuation ($M)
Adaptive ML,www.cbinsights.com/company/adaptive-ml,AI infrastructure,AI development platforms - Unified,United States,"Databricks Ventures, Factorial Capital, ICONIQ Capital, IRIS, Index Ventures, Motier Ventures","Julien Launay (CEO), Baptiste Pannier (CTO)",Seed VC,2024-03-11 00:00:00,20,100
Aionics,www.cbinsights.com/company/aionics,Vertical AI,Energy,United States,"Plug and Play Accelerator, UP Partners","Venkat Viswanathan (Founder), Austin Sendek (CEO), Lenson Pellouchoud (CTO)",Seed VC,2023-10-01 00:00:00,3.5,
Atomic Industries,www.cbinsights.com/company/atomic-industries,Vertical AI,Manufacturing,United States,"Y Combinator, 8VC, Point72 Ventures, Toyota Ventures, 8090 Industries, Acequia Capital, Case Western Reserve University, Impatient Ventures, Narya Capital, Phaedrus Systems, Porsche Ventures, SaxeCap, Tyler Knight, Yamaha Motor Ventures, Zack Nathan",Aaron Slodov (CEO),Seed VC,2023-12-04 00:00:00,20.7,13.31
Atypical AI,www.cbinsights.com/company/atypical-ai,Vertical AI,Education,United States,"468 Capital, Accelerator Ventures, Anthony Lee, Ascend, Bloomberg Beta, Craig Sherman, Dan Carroll, Daniel Sturman, Erik Blachford, Frederic Laluyaux, Mindful Ventures, SNR Ventures","Bethanie Maples (Founder), Kevin Wiggen (CTO)",Pre-Seed,2023-08-22 00:00:00,4,
Binarly,www.cbinsights.com/company/binarly,Horizontal AI,Cybersecurity,United States,"Acrobator Ventures, Bryson Bort, Chris Ueland, David Mandel, Emerging Ventures, Jamie Butler, Michael Sutton, Pedram Amini, Ryan Permeh, StoneMill Ventures, Thomas Dullien, WestWave Capital, Google for Startups Accelerator: Cloud","Alex Matrosov (CEO), Claudiu Teodorescu (CTO)",Incubator,2023-07-12 00:00:00,14.1,11.59
Bioptimus,www.cbinsights.com/company/bioptimus,Vertical AI,Healthcare,France,"Bpifrance, Cathay Innovation, Frst Capital, Headline, Hummingbird Ventures, NJF Capital, Owkin, Sofinnova Partners, Top Harvest Capital, Xavier Niel","Jean-Philippe Vert (Founder), Rodolphe Jenatton (CTO)",Seed VC,2024-02-19 00:00:00,35,
Chalk,www.cbinsights.com/company/chalk-ai,AI infrastructure,AI development platforms - Unified,United States,"General Catalyst, Unusual Ventures, Xfund","Elliot Marx (Founder), Andrew Moreland (Founder), Marc Freed-Finnegan (CEO)",Seed VC,2023-12-12 00:00:00,10,
Cleanlab,www.cbinsights.com/company/cleanlab,AI infrastructure,Data preparation & curation ,United States,"AME Cloud Ventures, Avid Duggan, Bain Capital Ventures, Essence VC Fund, Databricks Ventures, Lane VC, Menlo Ventures, Preston-Werner Ventures, TQ Ventures, Comcast NBCUniversal LIFT Labs Generative AI Accelerator, and others","Anish Athalye (Founder), Curtis Northcutt (CEO)",Incubator,2023-10-16 00:00:00,30,100
Common Sense Machines,www.cbinsights.com/company/common-sense-machines,Vertical AI,Gaming & virtual worlds,United States,"Blindspot Ventures, Glasswing Ventures, Intel Capital, Toyota Ventures, AI Grant",Tejas Kulkarni (Founder),Convertible Note,2023-09-06 00:00:00,,15.25
DatologyAI,www.cbinsights.com/company/datologyai,AI infrastructure,Data preparation & curation ,United States,"Adam D'Angelo, Aidan Gomez, Amplify Partners, Conviction Capital, Douwe Kiela, Ivan Zhang, Jascha Sohl-Dickstein, Jeff Dean, Naveen Rao, Outset Capital, Quiet Capital, Radical Ventures, Yann LeCun","Ari Morcos (CEO), Bogdan Gaza (CTO)",Seed VC,2024-02-22 00:00:00,11.65,
ElevenLabs,www.cbinsights.com/company/eleven-labs,Horizontal AI,Creator tools - Music & voice,United States,"Concept Ventures, Credo Ventures, Andreessen Horowitz, Daniel Gross, Nat Friedman, Brendan Iribe, Creator Ventures, Mike Krieger, Mustafa Suleyman, SV Angel, Tim O'Reilly, BroadLight Capital, Sequoia Capital, Smash Capital, Disney Accelerator","Piotr Dabkowski (Founder), Mati Staniszewski (Founder)",Incubator,2024-02-23 00:00:00,101,1100
Elicit,www.cbinsights.com/company/elicit-2,Horizontal AI,Search - Academic,United States,"Basis Set, Fifty Years Fund, Illusionist Group, Jeff Dean, Thomas Ebeling","Andreas Stuhlmuller (CEO), Jungwon Byun (COO)",Seed VC,2023-09-25 00:00:00,9,36.32
Extropic,www.cbinsights.com/company/qyber,AI infrastructure,Chips,United States,"Bryan Johnson, Buckley Ventures, HOF Capital, Julian Capital, Kindred Ventures, Marque Ventures, Not Boring Capital, OSS Capital, Valor Equity Partners, Weekend Fund","Guillaume Verdon-Akzam (Founder), Trevor McCourt (CTO)",Seed VC,2023-12-05 00:00:00,14.1,42.92
Flawless AI,www.cbinsights.com/company/flawless-ai,Vertical AI,Film,United Kingdom,AWS Generative AI Accelerator,"Nick Lynes (CEO), Scott Mann (CEO), Stuart Lawrence (CTO), Jim Rivera (Chief Product Officer), Jen Hollingsworth (Chief Commercial Officer)",Incubator,2023-05-24 00:00:00,,
Flip AI,www.cbinsights.com/company/flip-13,Horizontal AI,DevOps,United States,"FactoryHQ, GTM Capital, Morgan Stanley Investment Management","Deap Ubhi (Founder), Corey Harrison (CEO), Sunil Mallya (CTO)",Seed VC,2023-11-09 00:00:00,6.5,19.54
